cluster_id,size,avg_distance,max_distance,density,data_index,arg-id,argument
990,8,0.3957131220140099,0.6592438152732542,2.5270832438167057,,,
691,10,0.4195258904799306,0.5872300352328147,2.3836431140304994,,,
144,6,0.4626516460772433,0.7440746294818716,2.1614534574314304,,,
89,12,0.5144424519294328,0.7988711294979863,1.9438520212503227,,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1101,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1184,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1306,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1441,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1492,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1714,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1921,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,1957,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,2227,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,2491,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,2500,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,2742,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,2746,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,3370,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,3734,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,4884,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,5135,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,6350,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,6567,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,8278,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,8503,,
48,36,0.5278211554968106,0.8122780363877011,1.8945811276904048,9473,,
993,5,0.5589115547297208,0.675752689167403,1.789191852516954,,,
171,14,0.5672816251717681,0.8645503979192345,1.7627928627111948,,,
91,8,0.5776080391770562,0.8695140298316401,1.731277842712758,,,
255,18,0.5903063145560805,0.9486636352879638,1.6940357494769736,,,
561,22,0.6047153276829006,0.8588767180672715,1.6536706681997284,,,
71,8,0.6192238887486957,0.8403727528257057,1.614924776272379,,,
829,5,0.6214810016831984,0.9805380230523276,1.6090596450923411,,,
551,20,0.6231089895939285,0.8983001329127046,1.6048556780599268,,,
564,21,0.6312721739065087,0.9709493539296008,1.5841027710942632,,,
433,5,0.6321405632761864,0.8102734595097425,1.5819266443167537,,,
356,5,0.6444909761460088,0.7558617400988544,1.551612104765065,,,
1193,16,0.6542329189431122,0.8972946023922347,1.5285076171579093,,,
378,11,0.6568599795802098,0.8459581351101565,1.5223944692734763,,,
481,11,0.6575031933129218,0.8949334261449129,1.520905160872847,,,
389,18,0.6597085857895961,0.9425681574197684,1.5158208056411966,,,
107,9,0.6606540403701886,1.0123109634480565,1.5136515315030292,,,
68,11,0.6654113575900953,0.837921578428945,1.502829773783358,,,
331,10,0.6660266073158359,0.9420429441740829,1.5014415175245257,,,
443,26,0.6666188724846094,0.8892430797786752,1.5001075446196397,,,
675,7,0.668901227927652,0.7593574129062861,1.4949890331314497,,,
977,5,0.6720823210799269,0.8290163292556727,1.4879129663657311,,,
949,25,0.6731489203302637,0.8995937770460853,1.4855553797952687,,,
867,14,0.6814212594560315,0.8798009051322493,1.4675209881157585,,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,703,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,1478,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,1891,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,2240,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,6608,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,7044,,
60,14,0.6828689518686556,0.8631827147149949,1.4644098216261296,9254,,
741,13,0.6838823937762616,0.884379057786668,1.4622397200170636,,,
605,8,0.6898072124064244,0.809515668729725,1.449680406372461,,,
795,16,0.6911660147072562,0.8953866719736029,1.4468303977931418,,,
49,27,0.6923260813452281,0.9437689335914918,1.444406078212371,1906,,
49,27,0.6923260813452281,0.9437689335914918,1.444406078212371,2028,,
49,27,0.6923260813452281,0.9437689335914918,1.444406078212371,2394,,
49,27,0.6923260813452281,0.9437689335914918,1.444406078212371,3509,,
49,27,0.6923260813452281,0.9437689335914918,1.444406078212371,8483,,
468,9,0.6926470466607983,0.8146368330653556,1.4437367557126364,,,
962,27,0.6932369063386725,0.888368683481364,1.4425083126077278,,,
330,13,0.6939333418590994,0.80870845634155,1.4410606029116937,,,
751,17,0.6939829013919763,0.9187164498748048,1.4409576921768836,,,
1117,29,0.6940189819737967,0.9340215457235772,1.440882779828284,,,
267,10,0.695150188749064,0.8566337986317194,1.4385380543440822,,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,992,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1016,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1341,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1587,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1893,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1949,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,1981,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,2084,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,3013,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,3843,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,4464,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,5340,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,5745,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,7136,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,7643,,
39,14,0.6973774992537933,0.7953397754547453,1.433943597363004,7846,,
547,19,0.6985789796233115,0.9033963101344898,1.4314773693007783,,,
142,9,0.7008880961169823,1.0120596019469348,1.426761284062519,,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,1475,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,2946,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,5037,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,5100,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,8868,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,9331,,
64,15,0.7014215453321625,0.9660199342821756,1.4256761952278552,9507,,
523,10,0.7030099855404737,0.9187641084185364,1.4224549018762522,,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,2206,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,3105,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,3797,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,3831,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,4317,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,4563,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,5545,,
22,29,0.703363211280237,0.9774939567388784,1.421740551627423,8817,,
515,18,0.7044936639249232,0.94049607423523,1.419459182114899,,,
625,5,0.7062943623273434,0.7654748731364612,1.4158402690697591,,,
97,17,0.7068874228147536,0.9019435769410994,1.4146524152574422,,,
1205,13,0.7084454116268479,0.9337613310629728,1.4115413602632232,,,
303,11,0.7121741983296325,0.8945898036296285,1.4041508416697035,,,
640,8,0.7127385666976914,0.8620789427746854,1.4030389917487809,,,
686,29,0.7138315172385095,1.0246330926633205,1.4008907926460668,,,
752,9,0.7142817229850916,0.8236571031266205,1.4000078229929338,,,
944,17,0.7145098491081167,0.9464449771685984,1.3995608335535823,,,
536,12,0.7148703561589235,0.8522738247980872,1.398855039077448,,,
693,19,0.7148753756410048,0.9568009115504356,1.3988452170468644,,,
562,12,0.7148892632325404,1.014841515946722,1.3988180427808694,,,
1071,13,0.7151780873371126,0.9594312644410732,1.3982531312213309,,,
320,28,0.7155996529133867,0.9504379251361392,1.3974294089282293,,,
556,7,0.7158992502258142,0.8553098325659274,1.3968445974549808,,,
294,9,0.7160420675836678,0.8325892594237152,1.3965659914012696,,,
368,17,0.7180873632219257,0.872832064182068,1.3925882158866911,,,
172,17,0.718504455795982,0.8841168565326376,1.3917798169980289,,,
504,17,0.7192910127256926,0.8684146252394476,1.3902578821478448,,,
209,15,0.7193708284816962,0.8457188708067819,1.3901036300159677,,,
121,14,0.7196821978231057,0.9206348108806126,1.3895022039238978,,,
