cluster_id,size,avg_distance,max_distance,density
0,9,0.9110384959321713,1.0790716548458401,1.0976484577381151
1,11,0.8785515891032001,0.9958163102317111,1.1382370852242962
2,3,0.9762588508444581,1.0682165328405568,1.0243184982497275
3,5,1.0858693426097101,1.2655065481986578,0.9209211097134973
4,5,0.935700492171906,1.049258832221859,1.0687180442524347
5,3,0.8816019428551516,0.9541644996055992,1.1342987706689995
6,15,0.994839180566426,1.2723664803989139,1.0051875916574131
7,9,0.9096278397749256,1.0754756511531225,1.0993506973658982
8,4,0.914513222052023,1.009126951375602,1.0934779026553145
9,6,0.9928890912192353,1.2096438673502712,1.0071618359428571
10,10,1.0242387849071666,1.1778430844683208,0.9763348300568764
11,7,0.9577414096097805,1.0676268046523585,1.0441231735061318
12,13,0.9592017676963303,1.1755450969944174,1.0425335249346475
13,10,1.0289752862614552,1.2445128900679352,0.9718406392764493
14,4,1.1052594223118406,1.1684086284274482,0.904764962698375
15,7,0.8545932511899802,1.0020409078177268,1.1701473169926722
16,6,0.9173776736564597,1.0299632136313024,1.090063589638307
17,4,0.9713663765105877,1.1283509919920256,1.0294776761702131
18,2,1.0043990675448105,1.0043990675448105,0.9956201994934506
19,5,1.0036336714198224,1.1275326898941866,0.9963794843444402
