cluster_id,size,avg_distance,max_distance,density
126,5,0.03884071830260918,0.05688920510444958,25.746176788208977
127,7,0.0640416324784061,0.15542658131295387,15.61484242827797
128,9,0.12628131499709333,0.2996270287651897,7.91882789645497
129,6,0.04549013793054261,0.08401055229442692,21.98278672020883
130,6,0.04151353646109896,0.06842001730315493,24.08852835115767
131,9,0.08427952148889727,0.1628934247402039,11.865278567483763
132,13,0.08982033864164106,0.21111115020435978,11.133335891659577
133,5,0.054089419253578463,0.11169747135837405,18.487904174231666
134,8,0.08145447476183623,0.1769538939725294,12.276796369062449
135,9,0.05825585204315458,0.13631604117395568,17.165657439174062
136,6,0.05623729671453988,0.10061256923153246,17.781793550212644
137,9,0.06391974790872795,0.1248516681443452,15.644617394735603
138,6,0.058668583172755286,0.10780598283915128,17.044897727552137
139,7,0.056385422547624194,0.10675445571837029,17.735080359739808
140,14,0.14164786439872928,0.35537668945373074,7.059760514179492
141,9,0.06556139783082855,0.13234658550552822,15.25287795999029
142,8,0.059680220055640346,0.11771407193803407,16.75597038797263
143,14,0.1108521751526045,0.2854638225021556,9.021022804679758
144,7,0.06294763391455536,0.1351199033268611,15.886220622007688
145,7,0.09731555594712199,0.2239642075200366,10.275849428876166
146,8,0.05354240424908833,0.10607500874201349,18.676785512802727
147,5,0.03461299299038851,0.0593932612234329,28.890885000256535
148,7,0.07653334504852674,0.15776173460884307,13.066200090508783
149,10,0.11709787117638244,0.223258170764362,8.539864900649798
150,7,0.050448429238868976,0.07780664459754541,19.822222715103496
151,5,0.03939297763230257,0.07302632261903011,25.385235138457563
152,14,0.07563802358632198,0.17037974924016336,13.220863695079881
153,8,0.05979291646969466,0.10861028437171662,16.724389092257077
154,5,0.04994303563641144,0.08686239751283754,20.02281173455425
155,5,0.03326103390732148,0.059473170508656734,30.065210924783617
156,8,0.0490980623616885,0.08310061808944579,20.36740253888931
157,19,0.08009805619910784,0.22378151020933684,12.484697475232093
158,5,0.07339951008399008,0.130493596652189,13.6240691369154
159,5,0.05880000966061679,0.11716874079172966,17.006799926935766
160,7,0.05648438081055283,0.12481478592169624,17.704009243793863
161,7,0.05841220512621644,0.12879758867945093,17.119709790774227
162,10,0.11683541137729071,0.24631530366910714,8.559048906591773
163,5,0.05348872947964188,0.09661975306663081,18.695527258328426
164,6,0.055648205621570156,0.10792799467590701,17.970031357352223
165,6,0.10232259520996348,0.2167424774152684,9.77301248026425
166,10,0.0757895575008978,0.1438537312905283,13.194429852531519
167,6,0.07110776248295618,0.1448547801871526,14.06316223548294
168,5,0.046026372358759546,0.07461402824563675,21.72667426851172
169,8,0.06852554242454685,0.13577000001670061,14.593098640570343
170,8,0.06706524099730768,0.12507205424154724,14.91085374672917
171,9,0.0648482764281844,0.125489783626712,15.42061030885594
172,21,0.1388692019708393,0.36450659812475705,7.201020714513696
173,14,0.0651615846157853,0.1557622277726084,15.346465342982947
174,7,0.03642413164424122,0.06922350078301183,27.454326427521117
175,6,0.11294366672439941,0.22024300540186464,8.853971444367568
176,6,0.04885789239794493,0.08539234905637384,20.46752225525926
