data_index,cluster,probability,outlier_score
333,-1,0.0,0.017166278996389964
334,-1,0.0,0.018685888674324833
335,-1,0.0,0.011875203034424367
336,-1,0.0,0.030835158090819707
337,-1,0.0,0.00457327810162796
338,-1,0.0,0.01231799081047949
339,-1,0.0,0.1319237846447419
340,-1,0.0,0.04090754032917518
341,-1,0.0,0.0034372459414554607
342,-1,0.0,0.0050813764495837785
343,-1,0.0,0.0024889146392409974
344,-1,0.0,0.005894087984336674
345,-1,0.0,7.303744551915911e-05
346,-1,0.0,0.027574916820758594
347,-1,0.0,0.0008842002295459801
348,-1,0.0,0.012332835138712016
349,-1,0.0,0.021234702913767323
350,-1,0.0,0.03641487800056157
351,-1,0.0,0.0031361045709844214
352,9,1.0,0.0
353,0,1.0,0.0
354,-1,0.0,0.014432202484865556
355,-1,0.0,0.003964868345506116
356,-1,0.0,0.007349638766570665
357,-1,0.0,0.04767258731312708
358,-1,0.0,0.0007901652744013414
359,-1,0.0,0.06251908232351423
360,-1,0.0,0.0422293527780197
361,-1,0.0,0.02006816636855375
362,-1,0.0,0.029730917525959792
363,-1,0.0,0.08688816714588621
364,-1,0.0,0.13324154524031234
365,-1,0.0,0.02483894241252441
366,-1,0.0,0.016772587870216425
367,-1,0.0,0.06764870604542515
368,-1,0.0,0.02066635351725469
369,-1,0.0,0.022803805066169268
370,-1,0.0,0.025697323769277313
371,-1,0.0,0.11841410772784121
372,-1,0.0,0.013453002862256322
373,-1,0.0,0.03550250538938464
374,-1,0.0,0.12499049165561148
375,-1,0.0,0.044566577279863746
376,-1,0.0,0.0021274720159924943
377,-1,0.0,0.09462250571749235
378,-1,0.0,0.035495356493392645
379,-1,0.0,0.0265750297378284
380,-1,0.0,0.01581241173522018
381,-1,0.0,0.08203783116514687
382,-1,0.0,0.12567390932740086
383,-1,0.0,0.11094428017728455
384,-1,0.0,0.01092245652177958
385,-1,0.0,0.14053110199830723
386,-1,0.0,0.08529005352060236
387,-1,0.0,0.0003480008124702173
388,-1,0.0,0.08203783116514687
389,-1,0.0,0.008002609093645845
390,-1,0.0,0.0005891302821004644
391,-1,0.0,0.03463948128869668
392,-1,0.0,0.010236139422199442
393,-1,0.0,0.035495356493392645
394,-1,0.0,0.0013111555152581118
395,-1,0.0,0.02066635351725469
396,-1,0.0,0.01768081919565223
397,-1,0.0,0.1204728931384569
398,-1,0.0,0.07276317003138054
399,-1,0.0,0.029791016009174665
400,-1,0.0,0.04058903384977996
401,-1,0.0,0.01256550706527729
402,-1,0.0,0.006494962950163907
403,0,0.9857046567165864,0.014295343283413612
404,-1,0.0,0.019389479896148507
405,-1,0.0,0.19944585568265996
406,-1,0.0,0.041191964914403016
407,-1,0.0,0.03752383458987472
408,-1,0.0,0.0018878384473987864
409,-1,0.0,0.027823838195776905
410,-1,0.0,0.037238989297990265
411,-1,0.0,0.12806223699431646
412,-1,0.0,0.12289276228129603
413,-1,0.0,0.030193171118679252
414,-1,0.0,0.004846877050961396
415,-1,0.0,0.011958968926718693
416,-1,0.0,0.0442062362029112
417,-1,0.0,0.02108385152709008
418,-1,0.0,0.016307454828054985
419,-1,0.0,0.04582672528919093
420,-1,0.0,0.12597122436129843
421,-1,0.0,0.049102173479649444
422,-1,0.0,0.11353975461787107
423,-1,0.0,0.004021969244604569
424,-1,0.0,0.16233688010750463
425,-1,0.0,0.042590682907336225
426,-1,0.0,0.035495356493392645
427,-1,0.0,0.04087623214351877
428,-1,0.0,0.03353646230389521
429,-1,0.0,0.17752360636527234
430,-1,0.0,0.02691200587074892
431,-1,0.0,0.008366975043578858
432,-1,0.0,0.03989103449741279
433,-1,0.0,0.05418793693827616
434,-1,0.0,0.09688078502867671
435,-1,0.0,0.13045315443502462
436,-1,0.0,0.0057223682713252195
437,-1,0.0,0.08754764293307116
438,-1,0.0,0.017209913113336413
439,-1,0.0,0.019972076844551268
440,-1,0.0,0.022476809648273987
441,-1,0.0,0.04165548346209967
442,-1,0.0,0.008833001451108904
443,-1,0.0,0.030729628249669506
444,-1,0.0,0.021634138128709547
445,-1,0.0,0.13919259380589666
446,2,1.0,0.0
447,-1,0.0,0.22197264237557163
448,-1,0.0,0.0009546299507217595
449,-1,0.0,0.03496017187726444
450,-1,0.0,0.09201537164532403
451,-1,0.0,0.028237281632675568
452,-1,0.0,0.2327924682886311
453,-1,0.0,0.14526371751850595
454,-1,0.0,0.07844441698269276
455,-1,0.0,0.02658911599982108
456,-1,0.0,0.0028262527142450416
457,-1,0.0,0.00233844234935151
458,-1,0.0,0.03702232955835318
459,-1,0.0,0.01768081919565223
460,-1,0.0,0.05245764621728117
461,-1,0.0,0.18476783435997537
462,-1,0.0,0.15487106725047126
463,-1,0.0,0.15487106725047126
464,-1,0.0,0.15487106725047126
465,-1,0.0,0.15487106725047126
466,-1,0.0,0.1183212531101953
467,-1,0.0,0.0018630986690689134
468,-1,0.0,0.03749410430320322
469,-1,0.0,0.005989980148063213
470,-1,0.0,0.0035266597901277698
471,-1,0.0,0.013537822280464297
472,-1,0.0,0.01679099889417426
473,-1,0.0,0.18836369153881305
474,-1,0.0,0.19752640581909559
475,-1,0.0,0.20162316961976284
476,-1,0.0,0.26456223764867753
477,-1,0.0,0.1935182824046009
478,-1,0.0,0.06963306946762757
479,-1,0.0,0.1702239923649324
480,-1,0.0,0.039267596181880415
481,-1,0.0,0.04478002046116711
482,-1,0.0,0.06547537225905868
483,-1,0.0,0.09077690350469356
484,-1,0.0,0.1411383663595402
485,-1,0.0,0.15350445183605488
486,-1,0.0,0.13045315443502462
487,-1,0.0,0.1867383337417475
488,-1,0.0,0.24791697282669398
489,-1,0.0,0.16827773423016565
490,-1,0.0,0.02883786745101863
491,-1,0.0,0.011239328390392378
492,-1,0.0,0.02206195620666835
493,-1,0.0,0.038462477664168854
494,-1,0.0,0.001454111785450557
495,-1,0.0,0.021692227743763663
496,-1,0.0,0.0016214156836607146
497,-1,0.0,0.03190462368191452
498,-1,0.0,0.02346447838993234
499,-1,0.0,0.030679861569814965
500,-1,0.0,0.04471483573645754
501,-1,0.0,0.027883026556101333
502,-1,0.0,0.0033334518374955316
503,-1,0.0,0.02387622571425488
504,-1,0.0,0.0590568230961606
505,-1,0.0,0.01921767585648979
506,-1,0.0,0.16530199589084513
507,-1,0.0,0.11079175950159967
508,-1,0.0,0.1208644000031729
509,-1,0.0,0.03463948128869668
510,-1,0.0,0.2263696662426234
511,-1,0.0,0.2901985777966169
512,-1,0.0,0.022652368234922532
513,-1,0.0,0.020908818115770382
514,-1,0.0,0.009050937670754966
515,-1,0.0,0.007390479134125714
